"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350703020686584,0.168245681332823,-2.08446967499168,0.0371174658436111,0.163034808643124
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417863,0.101059218008121,2.03947517584492,0.0414026263002545,0.17603166488021
"ENSG00000000457",322.664843927049,0.0245269479387486,0.145145067649402,0.168982303952577,0.865810560623694,0.961694238404536
"ENSG00000000460",87.682625164828,-0.147142049222107,0.257007253994898,-0.572520996722639,0.566969065258312,0.81584858763809
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807015,0.234311633846043,1.9601327440224,0.0499802769426455,0.200944465784061
"ENSG00000001036",2025.39179382894,-0.228243688351362,0.125005308318502,-1.82587196833128,0.0678695494958148,0.246790954889344
"ENSG00000001084",652.173308358757,-0.253030787429103,0.202576594239985,-1.24906230346309,0.211642286940025,0.495030492001032
"ENSG00000001167",411.684395281717,-0.533733396573774,0.228791461149311,-2.33283792101601,0.0196566535723908,0.105268747649879
"ENSG00000001460",201.336569053853,-0.123556348103765,0.161114727310077,-0.766884257985755,0.443150334000878,0.730583672004222
"ENSG00000001461",2918.77668675377,0.00210152395872492,0.288704344043652,0.00727915600191721,0.994192125099892,0.998014166808369
"ENSG00000001497",539.501702816792,-0.0573211492611318,0.109341581209951,-0.524239256711199,0.600112139779064,0.837621133649138
"ENSG00000001561",115.914401421895,0.286816638209846,0.715972980502808,0.400597014161655,0.688716844327546,0.887117297133476
"ENSG00000001617",604.297522477042,-0.192202806884414,0.19869055051067,-0.967347497857443,0.333370346700379,0.639074750804368
"ENSG00000001626",9.6724145714589,-0.286388065302522,0.586258600932633,-0.488501260104209,0.625194833386479,NA
"ENSG00000001629",1826.75812135437,-0.246091165637125,0.190393072929437,-1.29254264270597,0.196169288316362,0.474446482202379
"ENSG00000001630",979.608386428198,-0.179753249342176,0.121379855928827,-1.48091499999453,0.138629225360072,0.386406073069896
"ENSG00000001631",848.723819299268,-0.0712550209851342,0.153652803234408,-0.463740455658527,0.642833708758317,0.862101878964377
"ENSG00000002016",203.735815126675,-0.411582595769083,0.228455036442408,-1.80159125479748,0.0716097381883252,0.255785255863723
"ENSG00000002079",3.06484852801131,1.06112994552527,1.77213592724034,0.598785865809803,0.549315688867788,NA
"ENSG00000002330",688.667589034695,0.01032464194313,0.0964225022818796,0.10707710024935,0.914727814058098,0.976989457490446
"ENSG00000002549",1229.98469317186,0.164300728725491,0.177395585312041,0.92618273694063,0.354351022346374,0.656729477667416
"ENSG00000002586",8367.26727634875,0.0792894308760587,0.131640081100413,0.602319827010573,0.546961265485995,0.801490814632244
"ENSG00000002587",1.95953335698007,0.399056442749058,1.15881067603943,0.344367247385871,0.73057011704791,NA
"ENSG00000002726",1.53531673945229,0.804939605370435,1.80336251422947,0.446354850463531,0.655340940970968,NA
"ENSG00000002745",7.28561888515924,-0.616755840397198,1.02005314561264,-0.604631085203679,0.545424147475507,NA
"ENSG00000002746",126.130005973738,0.193681254724157,0.308349478771123,0.628122529981378,0.529923674967124,0.788533509272657
"ENSG00000002822",351.152304336473,-0.0573898319667314,0.150034116411651,-0.382511880226428,0.702081718535147,0.893013427124248
"ENSG00000002834",8609.18275618938,0.416875055371324,0.108296983616996,3.84936903548163,0.000118422479336338,0.00183011066280494
"ENSG00000002919",251.500095596273,0.341973669874939,0.144338780690092,2.36924316694337,0.0178245300403461,0.0988113131262964
"ENSG00000002933",546.441449222622,0.404466498425368,1.40062631378887,0.288775453126562,0.772753217770889,0.925756744263693
"ENSG00000003056",1837.96769229328,-0.00770187687693513,0.100389433711449,-0.0767199952444474,0.938846297516325,0.983555502335359
"ENSG00000003096",414.075308683702,-0.96457862932161,0.191741904271604,-5.03060941730961,4.88923265882638e-07,1.49289170600656e-05
"ENSG00000003137",106.506412172302,-1.03077632905584,0.583074413478777,-1.76782980907352,0.0770893599145857,0.267760568985366
"ENSG00000003147",9.33188603208963,0.254911504755499,0.570505284731464,0.44681707878567,0.655007138938165,NA
"ENSG00000003249",122.242063046478,-0.368497975015857,0.353315002468356,-1.0429729064473,0.296960841171046,0.600626063989952
"ENSG00000003393",860.859802380907,0.0548919352194596,0.166834695847931,0.329019901648595,0.742140645414627,0.912907738369439
"ENSG00000003400",95.3711570248671,-0.17839890837584,0.354603466800991,-0.503094089815991,0.614898121800844,0.845066429643719
"ENSG00000003402",3368.72335143759,1.16249955503504,0.126138593252881,9.21604978346699,3.08247090023873e-20,7.91254606510433e-18
"ENSG00000003436",5053.34063480256,-0.325443615737939,0.199411744751277,-1.63201829533089,0.102675632127896,0.322727153595549
"ENSG00000003509",302.835086615061,-0.100895148270186,0.125090107320781,-0.806579756234847,0.419908640720637,0.713270117060795
